ID,RequirementText,_subclass_
ECSS-E-ST-10_0790318,Each technical requirement of the product shall be linked to at least one requirement of a lower level element.,T
ECSS-E-ST-10_0790320,"When a technical requirement of a lower level element is not linked to a technical requirement of the product, this requirement shall be justified and an evaluation of its existence or removal on the product shall be agreed between the customer and the supplier.",T
ECSS-E-ST-10_0790328,"For each technical requirement the following information shall be provided: 1.	the justification of the requirement (i.e. justified source), 2.	the Entity or owner responsible for the requirement, 3.	if one technical requirement is induced by several sources, the reason of the specified performance, 4.	the justification of the quantified performance (such as the range, the approach used to determine the level, e.g. measure, estimation),  5.	the justification of the selected verification method.",T
ECSS-E-ST-10_0790405,Each technical requirement of a lower level element should be linked to a technical requirement of the product.,T
ECSS-E-ST-10-06_0770001,Technical requirements shall be formulated as defined in clause 8.     ,T
ECSS-E-ST-10-06_0770011,A technical requirement shall not call for more than one technical requirement in an applicable referred document.,T
ECSS-E-ST-10-06_0770012,The link to an applicable document shall be stated in the technical requirements.,T
ECSS-E-ST-10-06_0770018,Each technical requirement shall be described in quantifiable terms.,T
ECSS-E-ST-10-06_0770019,If necessary to remove possible ambiguities of a given performance requirement the method used to determine the required performance shall be indicated in the requirement itself.,P
ECSS-E-ST-10-06_0770021,The entity responsible of the technical requirement shall be identified.,T
ECSS-E-ST-10-06_0770023,Each technical requirement shall be under configuration management.,T
ECSS-E-ST-10-06_0770024,All technical requirements shall be backwards-traceable.,T
ECSS-E-ST-10-06_0770025,All technical requirements shall be forward-traceable.     ,T
ECSS-E-ST-10-06_0770026,The technical requirements shall be unambiguous.,T
ECSS-E-ST-10-06_0770027,Each technical requirement shall be unique.,T
ECSS-E-ST-10-06_0770028,"A technical requirement shall be identified in relation to the relevant function, product or system.",T
ECSS-E-ST-10-06_0770029,A unique identifier shall be assigned to each technical requirement.,T
ECSS-E-ST-10-06_0770032,Each technical requirement shall be separately stated.     ,T
ECSS-E-ST-10-06_0770033,A technical requirement shall be self-contained.     ,T
ECSS-E-ST-10-06_0770034,A technical requirement shall be verifiable using one or more approved verification methods.     ,T
ECSS-E-ST-10-06_0770039,The verbal form “shall” shall be used whenever a provision is a requirement.,G
ECSS-E-ST-10-06_0770040,The verbal form “should” shall be used whenever a provision is a recommendation.,G
ECSS-E-ST-10-06_0770041,The verbal form “may” shall be used whenever a provision is a permission.,G
ECSS-E-ST-10-06_0770042,The verbal form “can” shall be used to indicate possibility or capability.,G
ECSS-E-ST-10-06_0770043,"List of terms that shall not be used in a TS requirement     1. “and/or”,     2. “etc.”,     3. “goal”,     4. “shall be included but not limited to”,     5. “relevant”,     6. “necessary”,     7. “appropriate”,     8. “as far as possible”,     9. “optimize”,     10. “minimize”,     11. “maximize”,     12. “typical”,     13. “rapid”,     14. “user-friendly”,     15. “easy”,     16. “sufficient”,     17. “enough”,     18. “suitable”,     19. “satisfactory”,     20. “adequate”,     21. “quick”,     22. “first rate”,     23. “best possible”,     24. “great”,     25. “small”,     26. “large”, and     27. “state of the art”.",G
ECSS-E-ST-10-06_0770054,The technical requirements shall be expressed according to ECSS-E-ST-10-06 clauses 7 and 8.      ,T
ECSS-E-ST-10-06_0770055,Each technical requirement should be justified.,T
ECSS-E-ST-10-06_0770056,The unique identifier should reflect the type of the technical requirement.,T
ECSS-E-ST-10-06_0770057,The unique identifier should reflect the life profile situation.     ,T
ECSS-E-ST-10-06_0770058,"Technical requirements should be stated in performance or “what-is-necessary” terms, as opposed to telling a supplier “how to” perform a task, unless the exact steps in performance of the task are essential to ensure the proper functioning of the product.",T
ECSS-E-ST-10-06_0770059,"Technical requirements should be expressed in a positive way, as a complete sentence (with a verb and a noun).",T
ECSS-E-ST-10-24_1290040,Interface Requirements shall be specified in accordance with ECSS-E-ST-10-06.,I
ECSS-E-ST-10-24_1290041,Each interface requirements shall be accompanied by its verification requirements.,I
ECSS-E-ST-10-24_1290045,"In case of an existing interface end design, the interface requirements shall address: 1.	interface plane definition, 2.	interface behaviour definition, 3.	data affecting the interface definition.",I
ECSS-E-ST-10-24_1290046,"In addition to the general requirements defined in ECSS-E-ST-10-06, for each interface requirement the applicability to each interface end shall be specified.",I
ECSS-E-ST-10-24_1290049,Interface requirements shall be built starting from the Reference Interface Data List of Annex E and adding all data necessary to specify the interface.,I
ECSS-E-ST-40_0860219,Each requirement shall be uniquely identified.,G
ECSS-E-ST-40_0860220,"When requirements are expressed as models, the supplier shall establish a way to assign identifiers within the model for sake of traceability.",G
ECSS-E-ST-40_0860221,"Each requirement shall be associated to a validation method and a version, as per 5.2.4.1a. and ECSS-Q-ST-80, 7.2.1.3.",G
ECSS-E-ST-40_0860228,"The requirements of the following shall be either be listed in the SSS or referred to in the IRD:     1. communication interfaces,     2. hardware interfaces,     3. software interfaces,     4. HMI,",I
ECSS-E-ST-40_0860259,Each requirement shall be uniquely identified.,I
ECSS-E-ST-40_0860264,"For each of the identified requirements in <5>, a validation method shall be included.",I
ECSS-E-ST-40_0860276,Each requirement shall be uniquely identified.,T
ECSS-E-ST-40_0860277,"When requirements are expressed as models, the supplier shall establish a way to assign identifiers within the model for sake of traceability.",T
ECSS-E-ST-40_0860278,"The traceability information of each requirement derived from higher level documentation, to the applicable higher level requirement, shall be stated.     NOTE The documented trace can be provided automatically by tools when models are used to express requirements.",T
ECSS-E-ST-40_0860677,"Requirements may be characterized, for example as essential or not, with a priority level to prepare incremental delivery, stable or not.",T
