Term,Type,ECSS Standards,Branches
model philosophy,full term,"['ECSS-E-ST-10-02C Rev.1', 'ECSS-E-ST-10-02C']",['E']
review-of-design,full term,"['ECSS-E-ST-10-02C Rev.1', 'ECSS-E-ST-10-02C']",['E']
Verification Control Board,full term,"['ECSS-E-ST-10-02C Rev.1', 'ECSS-E-ST-10-02C']",['E']
verification level,full term,"['ECSS-E-ST-10-02C Rev.1', 'ECSS-E-ST-10-02C']",['E']
requirement traceability,full term,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-10C']",['E']
recurring product,full term,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-10C']",['E']
system engineering,full term,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-10C']",['E']
verification matrix,full term,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-10C']",['E']
constraint,full term,['ECSS-E-ST-10-06C'],['E']
environment,full term,"['ECSS-E-ST-10-06C', 'ECSS-S-ST-00-01C']","['E', 'S']"
function,full term,"['ECSS-E-ST-10-06C', 'ECSS-M-ST-10C Rev. 1', 'ECSS-S-ST-00-01C']","['E', 'M', 'S']"
functional analysis,full term,"['ECSS-E-ST-10-06C', 'ECSS-S-ST-00-01C']","['E', 'S']"
life cycle,full term,"['ECSS-E-ST-10-06C', 'ECSS-S-ST-00-01C']","['E', 'S']"
mission,full term,"['ECSS-E-ST-10-06C', 'ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-70C', 'ECSS-S-ST-00-01C']","['E', 'S']"
need,full term,['ECSS-E-ST-10-06C'],['E']
specification,full term,"['ECSS-E-ST-10-06C', 'ECSS-S-ST-00-01C']","['E', 'S']"
technical requirements specification,full term,['ECSS-E-ST-10-06C'],['E']
coordinate system,full term,['ECSS-E-ST-10-09C'],['E']
frame,full term,"['ECSS-E-ST-10-09C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-16C', 'ECSS-E-ST-50C Rev. 1']",['E']
inertial frame,full term,['ECSS-E-ST-10-09C'],['E']
J2000.0,full term,['ECSS-E-ST-10-09C'],['E']
context of use,full term,['ECSS-E-ST-10-11C'],['E']
crew,full term,['ECSS-E-ST-10-11C'],['E']
crew station,full term,['ECSS-E-ST-10-11C'],['E']
crew systems,full term,['ECSS-E-ST-10-11C'],['E']
effectiveness,full term,"['ECSS-E-ST-10-11C', 'ECSS-S-ST-00-01C']","['E', 'S']"
efficiency,full term,"['ECSS-E-ST-10-11C', 'ECSS-S-ST-00-01C']","['E', 'S']"
human-machine system,full term,['ECSS-E-ST-10-11C'],['E']
human centred design,full term,['ECSS-E-ST-10-11C'],['E']
operation,full term,"['ECSS-E-ST-10-11C', 'ECSS-E-ST-40-07C']",['E']
operations nomenclature,full term,['ECSS-E-ST-10-11C'],['E']
procedure,full term,"['ECSS-E-ST-10-11C', 'ECSS-E-ST-70-32C', 'ECSS-S-ST-00-01C']","['E', 'S']"
stakeholder,full term,['ECSS-E-ST-10-11C'],['E']
synoptic display,full term,['ECSS-E-ST-10-11C'],['E']
task,full term,['ECSS-E-ST-10-11C'],['E']
user,full term,"['ECSS-E-ST-10-11C', 'ECSS-E-ST-50C Rev. 1', 'ECSS-Q-ST-60-12C', 'ECSS-E-ST-50C']","['E', 'Q']"
absorbed dose,full term,"['ECSS-E-ST-10-12C', 'ECSS-E-ST-10-04C Rev.1', 'ECSS-Q-ST-70-06C', 'ECSS-E-ST-10-04C']","['E', 'Q']"
air kerma,full term,['ECSS-E-ST-10-12C'],['E']
"ambient dose equivalent, H*",full term,['ECSS-E-ST-10-12C'],['E']
bremsstrahlung,full term,"['ECSS-E-ST-10-12C', 'ECSS-E-ST-10-04C Rev.1', 'ECSS-Q-ST-70-06C', 'ECSS-E-ST-10-04C']","['E', 'Q']"
component,full term,"['ECSS-E-ST-10-12C', 'ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-33-11C Rev.1', 'ECSS-E-ST-40-07C', 'ECSS-S-ST-00-01C', 'ECSS-Q-ST-70-08C', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-11C']","['E', 'S', 'Q']"
continuous slowing down approximation range,full term,['ECSS-E-ST-10-12C'],['E']
COTS,full term,"['ECSS-E-ST-10-12C', 'ECSS-S-ST-00-01C', 'ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-35-10C', 'ECSS-E-ST-40C', 'ECSS-E-ST-70C', 'ECSS-E-ST-70-31C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-10-09C Rev. 1']","['E', 'S', 'Q']"
critical charge,full term,['ECSS-E-ST-10-12C'],['E']
cross-section,full term,['ECSS-E-ST-10-12C'],['E']
directional dose equivalent,full term,['ECSS-E-ST-10-12C'],['E']
displacement damage,full term,['ECSS-E-ST-10-12C'],['E']
dose,full term,"['ECSS-E-ST-10-12C', 'ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-20-06C', 'ECSS-E-ST-10-04C']",['E']
dose equivalent,full term,"['ECSS-E-ST-10-12C', 'ECSS-E-ST-10-04C']",['E']
dose rate,full term,['ECSS-E-ST-10-12C'],['E']
effective dose,full term,['ECSS-E-ST-10-12C'],['E']
energetic particle,full term,"['ECSS-E-ST-10-12C', 'ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
equivalent dose,full term,['ECSS-E-ST-10-12C'],['E']
equivalent fluence,full term,"['ECSS-E-ST-10-12C', 'ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
extrapolated range,full term,['ECSS-E-ST-10-12C'],['E']
Firsov scattering,full term,['ECSS-E-ST-10-12C'],['E']
fluence,full term,"['ECSS-E-ST-10-12C', 'ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-10-04C Rev.1', 'ECSS-Q-ST-70-06C', 'ECSS-E-ST-20-06C', 'ECSS-E-ST-10-04C']","['E', 'Q']"
flux,full term,"['ECSS-E-ST-10-12C', 'ECSS-E-ST-10-04C Rev.1', 'ECSS-Q-ST-70-06C', 'ECSS-Q-ST-70-61C', 'ECSS-Q-ST-70-40C', 'ECSS-Q-ST-70-08C', 'ECSS-E-ST-10-04C']","['E', 'Q']"
ICRU sphere,full term,['ECSS-E-ST-10-12C'],['E']
ICRU Soft Tissue,full term,['ECSS-E-ST-10-12C'],['E']
ionising dose,full term,['ECSS-E-ST-10-12C'],['E']
ionising radiation,full term,['ECSS-E-ST-10-12C'],['E']
isotropic,full term,"['ECSS-E-ST-10-12C', 'ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
L or L-shell,full term,['ECSS-E-ST-10-12C'],['E']
linear energy transfer,full term,"['ECSS-E-ST-10-12C', 'ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
LET Threshold,full term,['ECSS-E-ST-10-12C'],['E']
margin,full term,['ECSS-E-ST-10-12C'],['E']
mean organ absorbed dose,full term,['ECSS-E-ST-10-12C'],['E']
mean range,full term,['ECSS-E-ST-10-12C'],['E']
multiple bit upset,full term,['ECSS-E-ST-10-12C'],['E']
multiple cell upset,full term,['ECSS-E-ST-10-12C'],['E']
"non-ionising dose, NID, or non-ionising energy loss  dose",full term,['ECSS-E-ST-10-12C'],['E']
NIEL or NIEL rate or NIEL coefficient,full term,['ECSS-E-ST-10-12C'],['E']
omnidirectional flux,full term,"['ECSS-E-ST-10-12C', 'ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-20-06C', 'ECSS-E-ST-10-04C']",['E']
organ equivalent dose,full term,['ECSS-E-ST-10-12C'],['E']
personal dose equivalent,full term,['ECSS-E-ST-10-12C'],['E']
plasma,full term,"['ECSS-E-ST-10-12C', 'ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-20-06C', 'ECSS-E-ST-10-04C']",['E']
projected range,full term,['ECSS-E-ST-10-12C'],['E']
quality factor,full term,['ECSS-E-ST-10-12C'],['E']
radiation,full term,"['ECSS-E-ST-10-12C', 'ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-20-06C', 'ECSS-E-ST-10-04C']",['E']
radiation design margin,full term,"['ECSS-E-ST-10-12C', 'ECSS-Q-ST-60-15C']","['E', 'Q']"
radiation weighting factor,full term,['ECSS-E-ST-10-12C'],['E']
relative biological effectiveness,full term,['ECSS-E-ST-10-12C'],['E']
sensitive volume,full term,['ECSS-E-ST-10-12C'],['E']
single event burnout,full term,['ECSS-E-ST-10-12C'],['E']
single event dielectric rupture,full term,['ECSS-E-ST-10-12C'],['E']
single event disturb,full term,['ECSS-E-ST-10-12C'],['E']
single event effect,full term,['ECSS-E-ST-10-12C'],['E']
single event functional interrupt,full term,['ECSS-E-ST-10-12C'],['E']
single event gate rupture,full term,['ECSS-E-ST-10-12C'],['E']
single event hard error,full term,['ECSS-E-ST-10-12C'],['E']
single event latch-up,full term,['ECSS-E-ST-10-12C'],['E']
single event snapback,full term,['ECSS-E-ST-10-12C'],['E']
single event transient,full term,['ECSS-E-ST-10-12C'],['E']
single event upset,full term,['ECSS-E-ST-10-12C'],['E']
single word multiple bit upset,full term,['ECSS-E-ST-10-12C'],['E']
solar energetic particle event,full term,['ECSS-E-ST-10-12C'],['E']
stopping power,full term,['ECSS-E-ST-10-12C'],['E']
tissue weighting factor,full term,['ECSS-E-ST-10-12C'],['E']
total ionising dose,full term,['ECSS-E-ST-10-12C'],['E']
acceptance margin,full term,"['ECSS-E-ST-31C', 'ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
acceptance temperature range,full term,['ECSS-E-ST-31C'],['E']
calculated temperature range,full term,['ECSS-E-ST-31C'],['E']
climatic test,full term,['ECSS-E-ST-31C'],['E']
thermal component,full term,['ECSS-E-ST-31C'],['E']
correlation,full term,['ECSS-E-ST-31C'],['E']
design temperature range,full term,['ECSS-E-ST-31C'],['E']
geometrical mathematical model,full term,['ECSS-E-ST-31C'],['E']
heat dissipation,full term,['ECSS-E-ST-31C'],['E']
heat flux,full term,['ECSS-E-ST-31C'],['E']
heat leak,full term,['ECSS-E-ST-31C'],['E']
heat lift,full term,['ECSS-E-ST-31C'],['E']
heat storage,full term,['ECSS-E-ST-31C'],['E']
induced environment,full term,['ECSS-E-ST-31C'],['E']
infrared test,full term,['ECSS-E-ST-31C'],['E']
minimum switch-on temperature,full term,['ECSS-E-ST-31C'],['E']
natural environment,full term,['ECSS-E-ST-31C'],['E']
predicted temperature range,full term,['ECSS-E-ST-31C'],['E']
qualification margin,full term,"['ECSS-E-ST-31C', 'ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
qualification temperature range,full term,['ECSS-E-ST-31C'],['E']
qualification test,full term,"['ECSS-E-ST-31C', 'ECSS-E-ST-20-01C']",['E']
radiative sink temperature,full term,['ECSS-E-ST-31C'],['E']
sensitivity analysis,full term,"['ECSS-E-ST-31C', 'ECSS-E-ST-60-30C']",['E']
solar simulation test,full term,['ECSS-E-ST-31C'],['E']
success criteria,full term,['ECSS-E-ST-31C'],['E']
system authority,full term,['ECSS-E-ST-31C'],['E']
system interface temperature point,full term,['ECSS-E-ST-31C'],['E']
temperature difference,full term,['ECSS-E-ST-31C'],['E']
temperature gradient,full term,['ECSS-E-ST-31C'],['E']
temperature mean deviation,full term,['ECSS-E-ST-31C'],['E']
temperature reference point,full term,['ECSS-E-ST-31C'],['E']
temperature stability,full term,['ECSS-E-ST-31C'],['E']
temperature standard deviation,full term,['ECSS-E-ST-31C'],['E']
temperature uniformity,full term,['ECSS-E-ST-31C'],['E']
temperature variation,full term,['ECSS-E-ST-31C'],['E']
thermal balance test,full term,"['ECSS-E-ST-31C', 'ECSS-S-ST-00-01C']","['E', 'S']"
thermal design case,full term,['ECSS-E-ST-31C'],['E']
thermal mathematical model,full term,['ECSS-E-ST-31C'],['E']
thermal node,full term,['ECSS-E-ST-31C'],['E']
thermal vacuum test,full term,"['ECSS-E-ST-31C', 'ECSS-S-ST-00-01C']","['E', 'S']"
uncertainties,full term,['ECSS-E-ST-31C'],['E']
unit,full term,"['ECSS-E-ST-31C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-20-07C Rev. 2', 'ECSS-S-ST-00-01C', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-50-12C', 'ECSS-E-ST-20-07C Rev. 1']","['E', 'S']"
unit acceptance test temperature range,full term,['ECSS-E-ST-31C'],['E']
unit internal design temperature range,full term,['ECSS-E-ST-31C'],['E']
unit qualification test temperature range,full term,['ECSS-E-ST-31C'],['E']
cryogenic temperature range,full term,['ECSS-E-ST-31C'],['E']
cryogenic control system,full term,['ECSS-E-ST-31C'],['E']
maximum cryogenic heat load,full term,['ECSS-E-ST-31C'],['E']
maximum cryogenic temperature,full term,['ECSS-E-ST-31C'],['E']
nominal cryogenic heat load,full term,['ECSS-E-ST-31C'],['E']
nominal cryogenic temperature,full term,['ECSS-E-ST-31C'],['E']
ultimate cryogenic heat load,full term,['ECSS-E-ST-31C'],['E']
ultimate cryogenic temperature,full term,['ECSS-E-ST-31C'],['E']
high temperature range,full term,['ECSS-E-ST-31C'],['E']
ablation,full term,['ECSS-E-ST-31C'],['E']
aerodynamic heating,full term,['ECSS-E-ST-31C'],['E']
allowable temperatures,full term,['ECSS-E-ST-31C'],['E']
arc-jet test,full term,['ECSS-E-ST-31C'],['E']
combined loads,full term,['ECSS-E-ST-31C'],['E']
hot structure,full term,['ECSS-E-ST-31C'],['E']
limit aero-thermal heat flux,full term,['ECSS-E-ST-31C'],['E']
limit temperatures,full term,['ECSS-E-ST-31C'],['E']
nominal aero-thermal heat fluxes,full term,['ECSS-E-ST-31C'],['E']
nominal temperatures,full term,['ECSS-E-ST-31C'],['E']
plasma wind-tunnel,full term,['ECSS-E-ST-31C'],['E']
protected structure,full term,['ECSS-E-ST-31C'],['E']
thermal protection subsystem,full term,['ECSS-E-ST-31C'],['E']
ultimate aero-thermal heat fluxes,full term,['ECSS-E-ST-31C'],['E']
ultimate temperature,full term,['ECSS-E-ST-31C'],['E']
autofrettage,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
boss,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
burst factor,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
burst pressure,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
composite over-wrap,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
composite over-wrapped pressure vessel,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
composite over-wrapped pressurized component,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
composite over-wrapped pressurized structure,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
composite over-wrapped special pressurized equipment,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
composite pressure vessel,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
composite pressurized structure,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
