Term,ECSS Standards,Branches
AIT,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10_09C', 'ECSS_E_ST_31C', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_70_01C', 'ECSS_E_ST_70C', 'ECSS_E_ST_50CRev1', 'ECSS_E_ST_10_03CRev1', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_20_08C', 'ECSS_Q_ST_70_16C', 'ECSS_S_ST_00_01C', 'ECSS_U_ST_20C', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_50C', 'ECSS_E_ST_10_03C']","['E', 'Q', '', 'U']"
AIV,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10_09C', 'ECSS_E_ST_35_02C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_70_32C', 'ECSS_E_ST_10_03CRev1', 'ECSS_M_ST_60C', 'ECSS_Q_ST_20CRev2Corr1', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_70_58C', 'ECSS_S_ST_00_01C', 'ECSS_U_ST_20C', 'ECSS_Q_ST_20C', 'ECSS_Q_ST_20CRev1', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_10_03C']","['E', 'M', 'Q', '', 'U']"
AOCS,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_31C', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_50_13C', 'ECSS_E_ST_70_01C', 'ECSS_E_ST_70_11C', 'ECSS_E_ST_70C', 'ECSS_E_ST_70_31C', 'ECSS_E_ST_20_08CRev1', 'ECSS_E_ST_70_41C', 'ECSS_E_ST_20_06CRev1', 'ECSS_Q_ST_70CRev2', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_70C', 'ECSS_Q_ST_70CRev1', 'ECSS_E_ST_20_08C', 'ECSS_E_ST_10C', 'ECSS_E_ST_20_06C']","['E', 'Q', '']"
AR,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_40C', 'ECSS_E_ST_70_01C', 'ECSS_E_ST_20_08CRev1', 'ECSS_E_ST_50CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_20CRev2', 'ECSS_M_ST_10CRev1', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_20_08C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_40C', 'ECSS_Q_ST_80C', 'ECSS_E_ST_20_08C', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_20C', 'ECSS_E_ST_32_01CRev1', 'ECSS_E_ST_50C', 'ECSS_E_ST_20CRev1']","['E', 'M', 'Q', '']"
CDR,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10_12C', 'ECSS_E_ST_40C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_70_01C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_20_01C', 'ECSS_E_ST_50CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_20CRev2', 'ECSS_M_ST_10CRev1', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_30_02C', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_Q_ST_70CRev2', 'ECSS_Q_ST_70_80C', 'ECSS_Q_ST_60CRev3', 'ECSS_S_ST_00_01C', 'ECSS_U_ST_20C', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_70C', 'ECSS_Q_ST_40C', 'ECSS_Q_ST_80C', 'ECSS_Q_ST_70CRev1', 'ECSS_Q_ST_60CRev2', 'ECSS_Q_ST_60_13C', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_20C', 'ECSS_E_ST_32_01CRev1', 'ECSS_E_ST_50C', 'ECSS_E_ST_20CRev1']","['E', 'M', 'Q', '', 'U']"
COTS,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10_12C', 'ECSS_E_ST_35_10C', 'ECSS_E_ST_40C', 'ECSS_E_ST_70C', 'ECSS_E_ST_70_31C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_10_09CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_80C', 'ECSS_Q_ST_10_09C', 'ECSS_E_ST_10C']","['E', 'Q', '']"
CRR,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_70C', 'ECSS_M_ST_10CRev1', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_40C', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_02C']","['E', 'M', 'Q']"
DDF,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_40C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_80CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_80C', 'ECSS_E_ST_10C', 'ECSS_E_ST_20C', 'ECSS_E_ST_20CRev1']","['E', 'Q', '']"
DDP,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10C']",['E']
DJF,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_40C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_20_08CRev1', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_10_09CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_80C', 'ECSS_Q_ST_10_09C', 'ECSS_E_ST_20_08C', 'ECSS_E_ST_10C', 'ECSS_E_ST_20C', 'ECSS_E_ST_20CRev1']","['E', 'Q', '']"
