Term,ECSS Standards,Branches
model philosophy,"['ECSS_E_ST_10_02CRev1', 'ECSS_E_ST_10_02C']",['E']
review-of-design,"['ECSS_E_ST_10_02CRev1', 'ECSS_E_ST_10_02C']",['E']
verification control board,"['ECSS_E_ST_10_02CRev1', 'ECSS_E_ST_10_02C']",['E']
verification level,"['ECSS_E_ST_10_02CRev1', 'ECSS_E_ST_10_02C']",['E']
requirement traceability,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10C']",['E']
recurring product,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10C']",['E']
system engineering,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10C']",['E']
verification matrix,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10C']",['E']
constraint,['ECSS_E_ST_10_06C'],['E']
environment,"['ECSS_E_ST_10_06C', 'ECSS_S_ST_00_01C']","['E', 'S']"
function,"['ECSS_E_ST_10_06C', 'ECSS_M_ST_10CRev1', 'ECSS_S_ST_00_01C']","['E', 'M', 'S']"
functional analysis,"['ECSS_E_ST_10_06C', 'ECSS_S_ST_00_01C']","['E', 'S']"
life cycle,"['ECSS_E_ST_10_06C', 'ECSS_S_ST_00_01C']","['E', 'S']"
mission,"['ECSS_E_ST_10_06C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_70C', 'ECSS_S_ST_00_01C']","['E', 'S']"
need,['ECSS_E_ST_10_06C'],['E']
specification,"['ECSS_E_ST_10_06C', 'ECSS_S_ST_00_01C']","['E', 'S']"
technical requirements specification,['ECSS_E_ST_10_06C'],['E']
coordinate system,['ECSS_E_ST_10_09C'],['E']
frame,"['ECSS_E_ST_10_09C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_16C', 'ECSS_E_ST_50CRev1']",['E']
inertial frame,['ECSS_E_ST_10_09C'],['E']
j2000.0,['ECSS_E_ST_10_09C'],['E']
context of use,['ECSS_E_ST_10_11C'],['E']
crew,['ECSS_E_ST_10_11C'],['E']
crew station,['ECSS_E_ST_10_11C'],['E']
crew systems,['ECSS_E_ST_10_11C'],['E']
effectiveness,"['ECSS_E_ST_10_11C', 'ECSS_S_ST_00_01C']","['E', 'S']"
efficiency,"['ECSS_E_ST_10_11C', 'ECSS_S_ST_00_01C']","['E', 'S']"
human-machine system,['ECSS_E_ST_10_11C'],['E']
human centred design,['ECSS_E_ST_10_11C'],['E']
operation,"['ECSS_E_ST_10_11C', 'ECSS_E_ST_40_07C']",['E']
operations nomenclature,['ECSS_E_ST_10_11C'],['E']
procedure,"['ECSS_E_ST_10_11C', 'ECSS_E_ST_70_32C', 'ECSS_S_ST_00_01C']","['E', 'S']"
stakeholder,['ECSS_E_ST_10_11C'],['E']
synoptic display,['ECSS_E_ST_10_11C'],['E']
task,['ECSS_E_ST_10_11C'],['E']
user,"['ECSS_E_ST_10_11C', 'ECSS_E_ST_50CRev1', 'ECSS_Q_ST_60_12C', 'ECSS_E_ST_50C']","['E', 'Q']"
absorbed dose,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_10_04CRev1', 'ECSS_Q_ST_70_06C', 'ECSS_E_ST_10_04C']","['E', 'Q']"
air kerma,['ECSS_E_ST_10_12C'],['E']
"ambient dose equivalent, h*",['ECSS_E_ST_10_12C'],['E']
bremsstrahlung,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_10_04CRev1', 'ECSS_Q_ST_70_06C', 'ECSS_E_ST_10_04C']","['E', 'Q']"
