ID,RequirementText,_subclass_
ECSS-E-ST-10_0790318,technical requirement product shall link least one requirement lower level element,T
ECSS-E-ST-10_0790320,technical requirement lower level element link technical requirement product requirement shall justify evaluation existence removal product shall agree customer supplier,T
ECSS-E-ST-10_0790328,technical requirement follow information shall provide justification requirement ie justify source entity owner responsible requirement one technical requirement induce several source reason specify performance justification quantify performance range approach use determine level eg measure estimation justification select verification method,T
ECSS-E-ST-10_0790405,technical requirement lower level element link technical requirement product,T
ECSS-E-ST-10-06_0770001,technical requirement shall formulate defined clause,T
ECSS-E-ST-10-06_0770011,technical requirement shall call one technical requirement applicable refer document,T
ECSS-E-ST-10-06_0770012,link applicable document shall state technical requirement,T
ECSS-E-ST-10-06_0770018,technical requirement shall describe quantifiable term,T
ECSS-E-ST-10-06_0770019,necessary remove possible ambiguity give performance requirement method use determine require performance shall indicate requirement,P
ECSS-E-ST-10-06_0770021,entity responsible technical requirement shall identify,T
ECSS-E-ST-10-06_0770023,technical requirement shall configuration management,T
ECSS-E-ST-10-06_0770024,technical requirement shall backwardstraceable,T
ECSS-E-ST-10-06_0770025,technical requirement shall forwardtraceable,T
ECSS-E-ST-10-06_0770026,technical requirement shall unambiguous,T
ECSS-E-ST-10-06_0770027,technical requirement shall unique,T
ECSS-E-ST-10-06_0770028,technical requirement shall identify relation relevant function product system,T
ECSS-E-ST-10-06_0770029,unique identifier shall assign technical requirement,T
ECSS-E-ST-10-06_0770032,technical requirement shall separately state,T
ECSS-E-ST-10-06_0770033,technical requirement shall selfcontained,T
ECSS-E-ST-10-06_0770034,technical requirement shall verifiable use one approve verification method,T
ECSS-E-ST-10-06_0770039,verbal form shall shall use whenever provision requirement,G
ECSS-E-ST-10-06_0770040,verbal form shall use whenever provision recommendation,G
ECSS-E-ST-10-06_0770041,verbal form may shall use whenever provision permission,G
ECSS-E-ST-10-06_0770042,verbal form shall use indicate possibility capability,G
ECSS-E-ST-10-06_0770043,list term shall use ts requirement andor etc goal shall include limited relevant necessary appropriate far possible optimize minimize maximize typical rapid userfriendly easy sufficient enough suitable satisfactory adequate quick first rate best possible great small large state art,G
ECSS-E-ST-10-06_0770054,technical requirement shall express accord ecssest clause,T
ECSS-E-ST-10-06_0770055,technical requirement justify,T
ECSS-E-ST-10-06_0770056,unique identifier reflect type technical requirement,T
ECSS-E-ST-10-06_0770057,unique identifier reflect life profile situation,T
ECSS-E-ST-10-06_0770058,technical requirement state performance whatisnecessary term oppose tell supplier perform task unless exact step performance task essential ensure proper function product,T
ECSS-E-ST-10-06_0770059,technical requirement express positive way complete sentence verb noun,T
ECSS-E-ST-10-24_1290040,interface requirement shall specify accordance ecssest,I
ECSS-E-ST-10-24_1290041,interface requirement shall accompany verification requirement,I
ECSS-E-ST-10-24_1290045,case exist interface end design interface requirement shall address interface plane definition interface behaviour definition data affect interface definition,I
ECSS-E-ST-10-24_1290046,addition general requirement define ecssest interface requirement applicability interface end shall specify,I
ECSS-E-ST-10-24_1290049,interface requirement shall build start reference interface data list annex e add data necessary specify interface,I
ECSS-E-ST-40_0860219,requirement shall uniquely identify,G
ECSS-E-ST-40_0860220,requirement express model supplier shall establish way assign identifier within model sake traceability,G
ECSS-E-ST-40_0860221,requirement shall associate validation method version per ecssqst,G
ECSS-E-ST-40_0860228,requirement follow shall either list ss refer ird communication interface hardware interface software interface hmi,I
ECSS-E-ST-40_0860259,requirement shall uniquely identify,I
ECSS-E-ST-40_0860264,identify requirement validation method shall include,I
ECSS-E-ST-40_0860276,requirement shall uniquely identify,T
ECSS-E-ST-40_0860277,requirement express model supplier shall establish way assign identifier within model sake traceability,T
ECSS-E-ST-40_0860278,traceability information requirement derive higher level documentation applicable higher level requirement shall state note document trace provide automatically tool model use express requirement,T
ECSS-E-ST-40_0860677,requirement may characterize example essential priority level prepare incremental delivery stable,T
ECSS-E-ST-60-10_1020001,specification performance shall consist quantity constrain note usually do specify appropriate index ape mpe rpe pde pre define note element need fully describe constrain quantity list example associate timescales mpe rpe allow range quantity probability quantity lie within specified range note often call confidence level see interpretation probability note often refer statistical interpretation see annex note way specify statistical interpretation describe,P
ECSS-E-ST-60-10_1020002,specify requirement knowledge performance follow element shall specify quantity constrain note usually do specify appropriate index ake mke rke define note element need fully describe constrain quantity list example associate timescales mke rke allow range quantity probability quantity lie within specified range note often call confidence level see interpretation probability note often refer statistical interpretation see annex note way specify statistical interpretation describe condition requirement applies note condition requirement refers state knowledge onboard ground post processing post processing explain annex,P
ECSS-E-ST-60-10_1020003,general case probabilities shall express fraction percentage,P
