ECSS Source Reference,ID,RequirementText,_class_
ECSS_E_ST_35CRev1,1.0,system shall refresh display every second lv ts tvtest iaw rs mss,PE
ECSS_E_ST_40_07C,1.0,application shall match color schema set forth department homeland security,LF
ECSS_E_ST_40_07C,1.0,project data must readable x projection screen viewer must able read event activity data view distance,US
ECSS_E_ST_40_07C,1.0,product shall available normal business hour long user access client pc system available time first six month operation,A
ECSS_E_ST_40_07C,1.0,project data must understandable x projection screen viewer must able determine event activity occur current time view distance,US
ECSS_E_ST_40_07C,1.0,product shall ensure access authorized user product able distinguish authorize unauthorized user access attempt,SE
ECSS_E_ST_40_07C,1.0,product shall intuitive selfexplanatory new user shall able start display event activity within minute use product,US
ECSS_E_ST_40_07C,1.0,product shall respond fast keep uptodate data display,PE
ECSS_E_ST_35CRev1,1.0,system shall mdi form allow view graph data table,F
ECSS_E_ST_35CRev1,1.0,system shall display event vertical table time,F
ECSS_E_ST_35CRev1,1.0,system shall display event graph time,F
ECSS_E_ST_35CRev1,1.0,system shall display event activity,F
ECSS-E-ST-10-06C,1.0,display shall two region leave display graphical right display data table,F
ECSS-E-ST-10-06C,1.0,data display node within graph row table msel summary data,F
ECSS-E-ST-10-06C,1.0,table side display shall split region sequential temporal,F
ECSS_E_ST_20_01C,1.0,top table hold event occur sequentially,F
ECSS_E_ST_20_01C,1.0,bottom table hold event occur accord relevance current time,F
ECSS_Q_ST_40C,1.0,system shall color code event accord variance current time,F
ECSS_Q_ST_40C,1.0,system shall display data sync matrix exercise management tool application,F
ECSS_Q_ST_40C,1.0,system shall link event back either sync matrix exercise managment tool application modification,F
ECSS_Q_ST_40C,1.0,system shall allow modification display,F
ECSS_Q_ST_40C,1.0,system shall offer display event exercise,F
ECSS_Q_ST_40C,1.0,system shall filter data venue key event,F
ECSS_Q_ST_40C,1.0,system shall allow user define time segment,F
ECSS_Q_ST_40C,1.0,system shall display local exercise time separate clock,F
ECSS_Q_ST_40C,1.0,system shall offer ability pause resume refresh data,F
ECSS_Q_ST_40C,1.0,system shall provide chart activity event actual versus assume time,F
ECSS_Q_ST_40C,1.0,system shall provide history report change make activity event data,F
ECSS_E_ST_35CRev1,2.0,look feel system shall conform user interface standard smart device,LF
ECSS_E_ST_50C,2.0,user interface shall standard menu button navigation,LF
ECSS_E_ST_35CRev1,2.0,system shall professional appearance,LF
ECSS_E_ST_70_41C,2.0,product shall consistent color scheme font,LF
ECSS_E_ST_35CRev1,2.0,system shall use realtor train,US
ECSS_E_ST_35CRev1,2.0,system shall intuitive self explanatory,US
ECSS_E_ST_70_41C,2.0,product shall easy realtor learn,US
ECSS_E_ST_70_41C,2.0,product shall use symbol word naturally understandable realtor community,US
ECSS_E_ST_70_41C,2.0,product shall produce search result acceptable time,PE
ECSS_E_ST_70_41C,2.0,search result shall return later second user enter search criterion,PE
ECSS_E_ST_70_41C,2.0,product shall generate cma report acceptable time,PE
ECSS_E_ST_70_41C,2.0,cma report shall return later second user enter cma report criterion,PE
ECSS_E_ST_70_41C,2.0,product shall synchronize contact appointment acceptable time,PE
ECSS_E_ST_35CRev1,2.0,product shall synchronize office system every hour,PE
ECSS_E_ST_35CRev1,2.0,product shall available use hour per day day per year,A
ECSS_E_ST_35CRev1,2.0,access system system available time,A
ECSS-E-ST-10-06C,2.0,product shall operate offline mode whenever internet connection unavailable,FT
ECSS-E-ST-10-06C,2.0,product shall allow user view previously download search result cma report appointment,FT
ECSS_E_ST_20_01C,2.0,product shall retain user preference event failure,FT
ECSS_E_ST_70_32C,2.0,save user preference shall restore system come back online,FT
ECSS-E-ST-10-06C,2.0,product shall able support multiple remote user,SC
ECSS-E-ST-10-06C,2.0,product shall able support simultaneous user,SC
ECSS-E-ST-10-06C,2.0,product shall capable handle exist user number expect grow time within next year,SC
ECSS-E-ST-10-06C,2.0,product shall instal untrained realtor without recourse separatelyprinted instruction,US
ECSS-E-ST-10-06C,2.0,untrained realtor shall able install product device without printed instruction,US
ECSS_E_ST_70_32C,2.0,product expect run window ce palm operate system,PO
ECSS_E_ST_70_32C,2.0,registered realtor shall able access system,SE
ECSS_E_ST_70_32C,2.0,every user system shall authenticate authorized,SE
ECSS_E_ST_70_32C,2.0,product shall prevent data incorrect data introduce,SE
ECSS_E_ST_35CRev1,2.0,system shall allow real estate agent query ml information,F
ECSS-E-ST-10-06C,2.0,user shall able get driving direction select property,F
ECSS-E-ST-10-06C,2.0,user shall able download appointment contact information client,F
ECSS_E_ST_35CRev1,2.0,system shall display clear property image search result,F
ECSS_E_ST_35CRev1,2.0,system shall update create new property listing ml,F
ECSS_E_ST_70_41C,2.0,realtor shall able generate cma report base property criterion,F
ECSS_E_ST_35CRev1,2.0,system shall able call seller buyer schedule appointment,F
ECSS-E-ST-10-06C,2.0,realtor shall notify new client appointment automatic synchronization office system,F
ECSS-E-ST-10-06C,2.0,realtor shall able retrieve map show property location specify area,F
ECSS_E_ST_35CRev1,2.0,system shall notify realtor seller buyer respond appointment request,F
ECSS-E-ST-10-06C,2.0,product shall allow user save property search result,F
