RequirementText,_class_
system shall refresh display every 60 second,PE
application shall match color schema set forth department homeland security,LF
projected data must readable 10x10 projection screen 90 viewer must able read event activity data viewing distance 30,US
product shall available normal business hour long user access client pc system available 99 time first six month operation,A
projected data must understandable 10x10 projection screen 90 viewer must able determine event activity occuring current time viewing distance 100,US
product shall ensure accessed authorized user product able distinguish authorized unauthorized user access attempt,SE
product shall intuitive selfexplanatory 90 new user shall able start display event activity within 90 minute using product,US
product shall respond fast keep uptodate data display,PE
system shall mdi form allows viewing graph data table,F
system shall display event vertical table time,F
system shall display event graph time,F
system shall display event activity,F
display shall two region left 23 display graphical right 13 display data table,F
data displayed node within graph row table msel summary data,F
table side display shall split 2 region sequential temporal,F
top 14 table hold event occur sequentially,F
bottom 34 table hold event occur according relevance current time,F
system shall color code event according variance current time,F
system shall display data sync matrix 10 exercise management tool 10 application,F
system shall link event back either sync matrix 10 exercise managment tool 10 application modification,F
system shall allow modification display,F
system shall offer display event exercise,F
system shall filter data venue key event,F
system shall allow user define time segment,F
system shall display local exercise time separate clock,F
system shall offer ability pause resume refresh data,F
system shall provide chart activity event actual versus assumed time,F
system shall provide history report change made activity event data,F
look feel system shall conform user interface standard smart device,LF
user interface shall standard menu button navigation,LF
system shall professional appearance,LF
product shall consistent color scheme font,LF
system shall used realtor training,US
system shall intuitive self explanatory,US
product shall easy realtor learn,US
product shall use symbol word naturally understandable realtor community,US
product shall produce search result acceptable time,PE
search result shall returned later 30 second user entered search criterion,PE
product shall generate cma report acceptable time,PE
cma report shall returned later 60 second user entered cma report criterion,PE
product shall synchronize contact appointment acceptable time,PE
product shall synchronize office system every hour,PE
product shall available use 24 hour per day 365 day per year,A
1000 access system system available 999 time,A
product shall operate offline mode whenever internet connection unavailable,FT
product shall allow user view previously downloaded search result cma report appointment,FT
product shall retain user preference event failure,FT
100 saved user preference shall restored system come back online,FT
product shall able support multiple remote user,SC
product shall able support 1000 simultaneous user,SC
product shall capable handling existing 1000 user number expected grow 5 time within next year,SC
product shall installed untrained realtor without recourse separatelyprinted instruction,US
90 untrained realtor shall able install product device without printed instruction,US
product expected run window ce palm operating system,PO
registered realtor shall able access system,SE
every user system shall authenticated authorized,SE
product shall prevent data incorrect data introduced,SE
system shall allow real estate agent query ml information,F
user shall able get driving direction selected property,F
user shall able download appointment contact information client,F
system shall display clear property image search result,F
system shall update create new property listing ml,F
realtor shall able generate cma report based property criterion,F
system shall able call seller buyer schedule appointment,F
realtor shall notified new client appointment automatic synchronization office system,F
realtor shall able retrieve map showing property location specified area,F
system shall notify realtor seller buyer responds appointment request,F
product shall allow user save property search result,F
system shall easy use program administratorsnursing staff member,US
user shall able use system one day training,US
system shall help user avoid making mistake scheduling class clinicals nursing student,US
number mistake noted student shall decreased 50 first year,US
system shall intuitive program administratorsnursing staff member,US
2 3 program administratorsnursing staff member shall successfully able use system manage scheduling class clinicals,US
system shall use symbol word naturally understandable user community,US
verbiage used within system shall consistent standard english terminology national nursing community,US
staff member shall able complete set task timely manner,PE
response time general student management task shall take longer 5 second response time schedule generation shall take longer 30 second,PE
system shall available use hour 8am 6pm,A
system shall achieve 95 time,A
system shall able handle user requestsusage business hour,SC
system shall cater 10 simultaneous user 9am 5pm,SC
system shall capable processing 100 nursing student class next 10 year,SC
system shall expected manage nursing program curriculum classclinical scheduling minimum 5 year,SC
system shall able operate within business office environment typical nursing department depaul university,O
system shall used within specification defined computer used program administratorsnursing staff member,O
system shall operate within window xp professional operating system,O
system shall interface campusconnect92s central server,O
system shall interface faculty central server,O
system shall interface student master server,O
must able interface html browser,O
authorized user shall access clinical site information,SE
program administratorsnursing staff member people shall access clinical site detail,SE
authorized user shall access students92 personal information,SE
dr susan poslusny dr julie donalek people shall access students92 personal information,SE
authorized user shall access portion system interface campusconnect,SE
fit criterion dr susan poslusny karen sysol people shall access final class section scheduling system interface campusconnect,SE
system shall basic data integrity checking reduce possibility incorrect invalid data introduced,SE
system shall protect private information accordance organization92s information policy,SE
system shall built secure possible malicious interference,SE
system shall use organization92s standard virus protection software help monitor threat,SE
cohort shall associated one program study offered department,F
program administrator nursing staff member shall able add listing student cohort,F
program administrator nursing staff member shall able add single student cohort,F
student added cohort shall eligible cohort92s program study,F
program administrator nursing staff member shall able specify preferred sequence class given cohort,F
class within sequence cohort program administrator nursing staff member shall able specify quarter class offered,F
program administrator nursing staff member shall able add new class sequence class,F
program administrator nursing staff member shall able add clinical class section sequence class,F
program administrator nursing staff member shall able add new cohort system identified start month year,F
program administrator nursing staff member shall able add new class nursing department system,F
class shall either nonclinical class clinical class,F
nonclinical class shall specify course name lecture room requirement instructor need,F
clinical class shall specify course name lecture room requirement clinical site need lecture instructor need clinical lab instructor need,F
program administratorsnursing staff member shall able create new program study,F
program study shall consist program name listing required class clinical nonclinical must completed,F
program administrator nursing staff member shall ability specify class required program study,F
system shall able display report needed class given quarter cohort program program administratorsnursing staff members92 planning purpose,F
report needed class shall include limited class offered number section needed number lab needed room type needed,F
class given cohort shall conflict regard time day offered,F
program administrator nursing staff member shall able add new clinical site system,F
clinical site information shall include limited name site contact person contact information,F
program administrator nursing staff member shall able add new clinical lab section existing clinical class system,F
clinical lab section shall include clinical site name class instructor day time lab,F
program administrator nursing staff member shall able add student registered clinical class clinical lab section class,F
system shall allow program administrator nursing staff member remove student clinical lab section,F
system shall allow program administratornursing staff member move student one clinical lab section another clinical lab section corresponding clinical class,F
program administratorsnursing staff member shall able cancel clinical lab section student registered clinical lab section,F
program administratornursing staff member shall able add new nursing student system,F
staff member shall ability manage progress part time student includes modifying sequence class timeline class,F
system shall able display printable summary individual cohort include student enlisted program study sequence class cohort progress program timeline completion,F
system shall able display printable summary individual clinical site include information lab held site given quarter clinical site general information lab held location date time lab held,F
system shall able display printable summary individual clinical lab include limited class name class number lab section listing student enrolled instructor day time location,F
system shall able display printable summary individual nursing student include limited student name student id admission date class credit gpa cohort student enrolled,F
system shall able display printable summary system log,F
system shall contain contact information email phone number people relevant system including limited staff member student lecture instructor clinical lab instructor clinical site administrator,F
